model,context_tokens,batch_size,factor,endpoint,value,rom_per_user_tokens_s,speed_ratio_vs_fastest_gpu,partial_tco_ratio_vs_cheapest_gpu,binding_constraint,baseline_speed_ratio
DeepSeek-V4-Flash-0731,200000,64,pipeline efficiency,optimistic,0.98,150.55978133500432,0.4132103175782145,0.7457233454776439,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,defect-repair efficiency,pessimistic,0.75,117.24215537689965,0.32177031493589003,0.5806913041086019,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,defect-repair efficiency,optimistic,0.98,149.65166967272916,0.41071801116651574,0.7412251273166832,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,load-balance efficiency,pessimistic,0.6,123.88945892201012,0.34001379526349657,0.6136169226748701,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,load-balance efficiency,optimistic,0.96,147.03889862798954,0.4035472784277786,0.7282831137290898,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,weight encoding: released vs uniform MXFP4,endpoint_a,166878536440,141.3424869826755,0.3879135145889545,0.7000668141218696,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,weight encoding: released vs uniform MXFP4,endpoint_b,162815516380.0,141.3424869826755,0.3806624832753235,0.6830201388535044,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,index-cache bytes: FP4 to BF16,endpoint_a,166878536440,141.3424869826755,0.38570268069228303,0.6949047391136869,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,index-cache bytes: FP4 to BF16,endpoint_b,166878536440,141.3424869826755,0.4123627365050855,0.7571532906829468,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,main-KV bytes: production to BF16,endpoint_a,166878536440,141.3424869826755,0.3879135145889545,0.7000668141218696,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,main-KV bytes: production to BF16,endpoint_b,166878536440,141.3424869826755,0.3905114981094646,0.7061328446016294,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,GPU shared-KV reread amplification,ideal,1.0,141.3424869826755,0.3879135145889545,0.7000668141218696,compute_C5,0.3879135145889545
DeepSeek-V4-Flash-0731,200000,64,GPU shared-KV reread amplification,reread_stress,4.0,141.3424869826755,0.42473647006484955,0.7860447152548854,compute_C5,0.3879135145889545
